kde_low_prob_ratio,kde_prob_mean,kde_prob_day_mean,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,hour,is_outside
0,0,0,54637,34402,30144,44017,17873,0
0,0,0,48147,5599,46748,26156,5957,0
0,0,0,3233,47962,64935,34673,0,0
0,0,0,26371,62874,30545,0,0,0
0,0,0,41789,44217,19892,0,0,0
0,0,0,51051,18392,52670,47397,0,0
0,0,16129,60442,53721,43103,61109,0,0
0,50125,61728,27784,30369,13895,19783,0,0
0,43248,30810,57695,36745,36471,41491,0,0
0,0,0,7915,56918,16458,0,53620,0
0,0,0,1243,57466,48873,0,41705,0
0,0,0,796,18597,18048,6782,29789,0
0,0,0,44265,27383,25774,37571,17873,0
0,0,0,43413,3043,15422,28525,5957,0
0,0,0,8677,27723,38016,9603,0,0
0,0,0,35430,109,35545,3398,0,0
0,0,0,35804,31080,9831,53341,0,0
0,0,0,40279,43293,13299,44281,0,0
0,0,17983,56875,37848,34697,35848,0,0
0,0,53921,35138,45128,34539,35044,0,0
0,0,35240,16202,26199,47686,46523,0,0
0,0,44967,35896,47864,43642,0,53620,0
0,0,65301,61366,47703,34141,59296,41705,0
0,0,0,36686,44219,54962,60451,17873,0
0,0,0,31362,49881,7215,61373,5957,0
0,0,0,27171,10375,44457,35938,0,0
0,0,0,5273,34507,56956,47137,0,0
0,0,0,6074,53942,47972,0,0,0
0,0,0,32088,4296,22449,0,0,0
0,0,0,38082,53736,25673,8628,0,0
0,0,23947,53812,5218,37590,20833,0,0
0,0,63257,19322,27743,36678,42322,0,0
0,0,0,38791,56526,4364,0,53620,0
0,0,0,71,15489,17153,57907,41705,0
0,0,0,11207,58930,1857,23017,29789,0
0,0,0,58970,12782,25527,0,17873,0
0,0,0,33165,29822,28732,0,5957,0
0,0,0,25279,59821,37322,6928,0,0
0,0,0,64589,48206,19540,59546,0,0
0,0,0,14214,57263,35700,0,0,0
0,0,0,22141,126,34959,0,0,0
0,0,0,2865,26612,5302,49654,0,0
0,17326,53914,38406,29769,2885,16927,0,0
0,60313,81,43994,324,44578,36658,53620,0
0,0,59025,29144,58280,40484,0,41705,0
0,0,59553,63973,671,29736,40119,29789,0
0,0,11436,53135,23478,44465,17143,17873,0
0,0,49302,50960,37044,57511,17909,5957,0
0,0,59863,39302,32388,56149,21427,0,0
0,0,6521,50987,23036,33479,45311,0,0
0,0,19603,43126,25327,56940,65510,0,0
0,0,15080,49711,1496,8974,14393,0,0
0,34137,54285,37742,32283,25077,0,0,0
0,0,42609,35107,40909,8819,0,0,0
0,52670,13925,60226,36290,62944,43508,0,0
0,10281,24522,63441,21751,35257,0,53620,0
0,40711,59627,47266,27218,42765,0,41705,0
0,0,3547,43393,61483,10785,0,29789,0
0,0,0,21507,49072,5749,55016,17873,0
0,0,0,53392,37343,31061,0,5957,0
0,0,0,34074,965,22532,0,0,0
0,0,5592,22248,48639,29734,40370,0,0
0,0,62079,46392,2724,12016,30923,0,0
0,62671,33396,9217,11097,34995,17039,0,0
0,21550,32828,48482,14709,8312,38644,0,0
0,13995,19555,35902,20508,59722,12924,0,1
0,19008,24937,2798,7358,21691,0,0,0
0,35597,65133,53976,15274,56264,26769,53620,0
0,13765,64608,52434,65076,37051,10822,41705,0
0,15851,48936,15655,4835,59975,59309,29789,0
0,0,34401,2309,8638,10362,63168,17873,0
0,0,40206,4035,61661,12391,45374,5957,0
0,0,5396,10174,21578,36822,0,0,0
0,0,59318,39890,23903,26627,15838,0,0
0,0,11158,13208,35873,2799,4663,0,0
0,0,27126,3622,62013,46529,0,0,0
0,0,2577,46496,8910,48212,53879,0,0
0,0,58752,681,44622,10513,29957,0,0
0,0,48391,3983,9288,54383,34641,0,0
0,0,0,52427,35963,59763,0,53620,0
0,0,0,38835,11764,4662,25864,41705,0
0,0,0,24039,34665,40187,0,29789,0
0,0,0,15553,313,7524,0,17873,0
0,0,0,63563,36626,51634,43410,5957,0
0,0,0,30248,53246,61423,0,0,0
0,0,0,9405,12898,59260,49913,0,0
0,0,29229,62175,33239,27791,557,0,0
0,56913,20846,1809,20750,29876,41821,0,0
0,47705,6760,11962,37003,57997,6920,0,0
0,0,32651,46156,42835,14093,0,0,0
0,0,0,4211,18368,61676,57191,0,0
0,0,0,34285,40345,58839,38680,53620,0
0,0,0,52110,15743,20130,48577,41705,0
0,0,0,47884,6919,54361,0,29789,0
0,0,0,57101,2573,55065,40941,17873,0
0,0,0,2979,23661,54961,29525,5957,0
0,0,48989,11609,24172,3825,49720,0,0
0,0,0,25163,40864,17372,0,0,0
0,0,0,5913,50484,58042,48561,0,0
0,0,0,23350,22435,35767,0,0,0
0,0,18731,26906,11990,23253,0,0,0
0,52405,8255,37358,48707,44887,8923,0,0
0,47512,42049,59869,19558,44110,21974,0,0
0,36923,684,44161,6460,6959,41146,53620,0
0,7852,59012,39342,51722,20373,0,41705,0
0,12689,15359,5026,1575,23613,6301,29789,0
0,0,0,31831,8599,34332,58666,17873,0
0,0,0,64122,16508,41895,0,5957,0
0,0,0,49887,4275,62902,26391,0,0
0,0,0,24414,9867,50686,0,0,0
0,0,0,45242,25886,43001,0,0,0
0,0,0,62088,12458,53852,0,0,0
0,0,0,49304,51087,42159,23439,0,0
0,0,37249,26527,54086,20832,12626,0,0
0,50327,62999,59302,10059,44469,58024,0,0
0,26247,9536,41201,35689,24532,52684,53620,0
0,4496,10513,2932,46589,53932,20718,41705,0
0,58659,10267,9497,8458,41067,0,29789,0
0,0,0,13999,14092,14234,30724,17873,0
0,0,0,33187,33110,46072,0,5957,0
0,0,0,26793,45958,46169,0,0,0
0,0,0,38603,51391,18384,0,0,0
0,0,13061,21749,16922,51474,0,0,0
0,42484,44332,47609,17640,63288,37268,0,0
0,345,2662,18643,21132,26444,62668,0,0
0,21565,19532,59255,50175,50350,0,0,0
0,14412,49868,9675,35365,31461,0,0,0
0,63851,58043,39138,49204,24008,0,53620,0
0,36371,20358,6551,5126,64560,11463,41705,0
0,49573,6103,40579,38926,63023,0,29789,0
0,0,40176,9644,32589,3620,60714,17873,0
0,8259,42185,49154,10079,26703,0,5957,0
0,0,37241,9810,25323,53729,0,0,0
0,0,0,44585,34318,53947,8669,0,0
0,0,0,11339,59442,3791,57456,0,0
0,0,0,58396,14256,37997,41584,0,0
0,0,0,8807,44556,42479,31321,0,0
0,0,0,56304,27871,62188,0,0,0
0,0,43302,61990,59085,65415,18048,0,0
0,0,0,28661,53369,61274,0,53620,0
0,0,0,37001,17690,51853,0,41705,0
0,0,0,36317,50167,1251,0,29789,0
0,0,0,33832,25114,41123,6958,17873,0
0,0,0,26759,51918,2186,60046,5957,0
0,0,0,33178,51517,55243,0,0,0
0,0,0,46012,55102,35952,18923,0,0
0,0,0,45856,9267,29147,10017,0,0
0,0,15268,50988,45576,3261,29603,0,0
0,0,47807,16439,23675,30798,21202,0,0
0,0,0,18111,33655,50212,52582,0,0
0,0,0,48163,30062,14871,31645,0,0
0,36962,56858,46693,58449,31549,53918,53620,0
0,0,19951,42080,13059,50628,6745,41705,0
0,0,0,58832,28225,13520,60083,29789,0
0,0,0,58322,9961,29776,1494,17873,0
0,0,0,12648,48962,38460,0,5957,0
0,0,0,46100,52697,34859,0,0,0
0,0,0,56295,64360,21216,22378,0,0
0,0,0,30855,54337,41684,53408,0,0
0,0,0,49847,50931,65200,42418,0,0
0,0,0,58926,60681,26011,45825,0,0
0,0,0,3088,64685,23876,7781,0,0
0,0,0,44413,22450,22211,57610,0,0
0,0,0,55552,33347,28599,54922,53620,0
0,0,0,20268,44615,30726,12017,41705,0
0,0,0,56446,356,13780,26755,29789,0
0,0,0,11424,57837,52495,19863,17873,0
0,0,0,25227,5743,9639,0,5957,0
0,0,0,27320,57897,43973,20187,0,0
0,0,0,29926,7621,40086,0,0,0
0,0,0,9497,19241,15681,20742,0,0
0,0,0,41061,38737,51986,0,0,0
0,0,12094,10252,33094,62816,38810,0,0
0,31279,35960,57501,54441,33779,8278,0,0
0,36944,38927,17740,43320,40225,47561,0,0
0,62773,7178,4162,8385,44677,63395,41705,0
0,28526,56877,54261,11967,23991,21672,29789,0
0,1925,32600,41656,31929,38709,8340,17873,0
0,63440,46232,38202,11040,19260,0,5957,0
0,0,0,7709,38599,40844,31661,0,0
0,0,0,20370,51500,11295,61967,0,0
0,0,0,41904,59013,2382,34366,0,0
0,0,0,33904,59858,1663,44068,0,0
0,0,0,2748,22356,11048,55556,0,0
0,31889,4021,20394,25701,25467,56232,0,0
0,20724,38163,33556,36171,61835,0,53620,0
0,60559,11798,1897,6964,26220,0,41705,0
0,44554,14608,26381,22628,23596,64670,29789,0
0,43902,14446,25592,15845,62043,27908,17873,0
0,0,25026,40282,26112,53175,11999,5957,0
0,15153,54841,64748,55485,16207,0,0,0
0,0,52538,15089,3093,9562,0,0,0
0,0,39378,15815,15991,62220,0,0,0
0,0,47281,38052,63905,27000,0,0,0
0,47348,48819,64545,16775,42497,10665,0,0
0,0,0,35636,48306,56866,0,0,0
0,0,34976,39332,31616,0,33844,0,0
0,0,0,16284,48968,28471,1860,53620,0
0,0,0,32053,30424,8286,47760,41705,0
0,0,0,12815,54949,39497,43553,29789,0
0,0,0,40264,62511,13593,29524,17873,0
0,0,0,59854,41135,514,2721,5957,0
0,0,0,6510,51998,27352,5198,0,0
0,0,0,49418,24593,46022,57472,0,0
0,0,30539,48079,35630,57620,28609,0,0
