kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
2503,8053,20378,3622,6459,870,48983,48983,65535,1
7661,18995,18345,2918,5253,1450,12324,12324,65535,0
11439,25413,17819,1043,1876,4055,4430,4430,65535,0
13107,28888,18208,716,1284,708,24704,24704,65535,0
34458,49417,16321,3675,6551,6270,27646,27646,0,0
35685,50112,16646,677,1204,6351,21856,21856,0,0
33671,49132,16531,604,1089,139,58374,58374,0,0
32679,48579,16627,165,294,944,0,0,0,0
28486,45407,16753,720,1281,1173,10824,10824,0,0
38862,50728,15155,2101,3772,2986,48909,48909,65535,0
14466,26315,13261,3343,5977,2632,30235,30235,65535,0
15545,21327,10872,5629,10085,4916,1744,1744,65535,0
14014,24468,7134,4513,8063,2413,19624,19624,65535,0
29522,30764,10290,4312,7726,403,37583,37583,65535,0
29749,30405,10706,492,878,8158,2514,2514,65535,0
28322,31326,10100,780,1394,615,46432,46432,65535,0
38529,30638,11960,3015,5390,4771,58192,58192,0,0
37881,29111,11742,1002,1796,4303,23158,23158,0,0
39918,31283,12382,1148,2043,294,56796,56796,0,0
39548,31268,12395,127,228,2172,0,0,0,0
30732,29891,15009,2883,5124,5811,27127,27127,0,0
30067,32270,16057,1726,3100,2427,21075,21075,65535,0
27086,31424,16646,904,1611,1773,258,258,65535,0
20395,21570,14623,4570,8192,7879,61530,61530,65535,0
28153,27306,12466,2359,4232,4744,23673,23673,65535,0
29520,30685,10168,2572,4581,415,5338,5338,65535,0
27387,32125,9529,1119,1983,3074,22888,22888,65535,0
28289,31447,9942,522,943,1255,57287,57287,65535,0
39695,29981,12127,3827,6842,7042,10653,10653,0,0
39039,29526,12038,164,294,7817,0,0,0,0
38878,30421,13126,1510,2702,2877,31369,31369,0,0
41298,31426,13018,624,1112,1893,50312,50312,0,0
41780,33805,13841,1221,2192,1294,20251,20251,0,0
42338,33172,13538,568,1013,1403,60983,60983,65535,0
27213,27046,14851,2832,5058,4825,62304,62304,65535,0
16633,20112,16312,1621,2855,2592,16204,16204,65535,0
14951,20208,17417,1556,2823,39,18261,18261,65535,0
11813,16839,17725,484,868,2341,30486,30486,65535,0
20155,25458,17088,1304,2327,1739,61613,61613,65535,0
23655,28132,16693,473,846,1769,12974,12974,65535,0
36620,28058,11934,5481,9823,10744,3179,3179,0,0
39277,29607,12134,520,928,10592,49467,49467,0,0
41223,31085,12801,740,1322,470,27157,27157,0,0
35939,30680,13289,2261,4046,3254,33016,33016,0,0
41789,33372,13603,1406,2522,1825,54744,54744,0,0
40186,31329,12407,1370,2445,92,44949,44949,65535,0
27950,31469,9657,3587,6402,4716,3773,3773,65535,0
20190,31467,7160,2781,4967,1711,10248,10248,65535,0
10450,25660,4405,4135,7426,2948,6663,6663,65535,0
7095,18950,3853,3317,5915,1798,423,423,65535,0
6740,18115,4397,733,1309,5495,14652,14652,65535,0
9251,22005,1103,3597,6450,6155,53569,53569,65535,0
31120,26110,5634,7135,12717,7459,15364,15364,0,0
32225,26612,5537,460,823,14190,35726,35726,0,0
28831,25828,5026,601,1076,303,36102,36102,0,0
29847,26223,5063,313,552,617,43025,43025,0,0
26324,23927,5268,1687,3063,3043,62629,62629,0,0
4212,12439,13166,13754,24403,25283,7732,7732,65535,1
8688,18369,14927,8472,15144,11051,25339,25339,65535,0
9073,18554,10378,4983,8907,7445,44307,44307,65535,0
7350,16981,11019,1667,2969,7064,38508,38508,65535,0
7945,17882,10110,1116,2008,1155,52664,52664,65535,0
7575,17603,9702,544,975,1237,22912,22912,65535,0
6742,15950,11712,2227,3938,3499,48578,48578,65535,0
