kde_very_low_prob_count,kde_low_prob_ratio,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,turning_angle_median,hour,is_outside
0,0,816975987,154617792,277344492,1551425383,1551425383,0,0
0,0,666404333,168533401,300213719,349804312,349804312,390451572,0
0,0,624479118,73350527,129978018,1500036545,1500036545,780903145,0
0,0,651541260,34216711,61789273,3754401093,3754401093,1171354717,0
0,0,794746637,250808845,448386841,698195949,698195949,1561806289,0
0,0,788925347,10771565,19257009,1960932181,1960932181,1952257861,0
0,0,860237145,98983532,177082097,2055848504,2055848504,2342709434,0
0,0,853172811,40869792,72893404,3297275987,3297275987,2733161006,0
0,0,907089689,80004404,143647418,1327218097,1327218097,3123612578,0
0,0,887249718,37246883,66358199,3996632112,3996632112,3514064150,1
0,0,973302042,185609942,331504341,4083239191,4083239191,3904515723,1
0,0,1069060590,106217027,187084631,1061954267,1061954267,4294967295,0
0,0,1141434845,101993574,184986702,1196774870,1196774870,0,0
0,0,1161669761,31725884,56892207,1997971642,1997971642,390451572,0
0,0,1119918510,85445130,152522645,4037928925,4037928925,780903145,1
0,0,1093997474,31000103,55467069,850270365,850270365,1171354717,0
0,0,782138455,359211415,643794460,208332074,208332074,1561806289,0
0,0,795212410,34095228,60793767,3241909953,3241909953,1952257861,0
0,0,838910687,48500915,86635958,1779787543,1779787543,2342709434,0
0,0,870932318,148186763,265143806,2163759973,2163759973,2733161006,0
0,0,891531450,92169502,165259257,3587762184,3587762184,3123612578,0
0,0,813101704,89796778,160223836,2945835139,2945835139,3514064150,0
0,0,632864920,235063183,419538095,247290767,247290767,3904515723,0
0,0,469264287,182244166,325538144,671625554,671625554,4294967295,0
0,0,288679846,271001419,486649269,436658856,436658856,0,0
0,0,252485873,217418601,387669972,27708876,27708876,390451572,0
0,0,288164724,48018941,85775020,960254190,960254190,780903145,0
0,0,72295705,235741450,422682731,3510743648,3510743648,1171354717,0
0,0,369243823,467613452,833435546,1006925828,1006925828,1561806289,0
0,0,362906019,30179670,53916664,2341377302,2341377302,1952257861,0
0,0,329410729,39367558,70497369,2366028087,2366028087,2342709434,0
0,0,331781835,20498623,36194256,2819750162,2819750162,2733161006,0
0,0,345265397,110576154,200722706,4104529844,4104529844,3123612578,1
0,4294967295,862829049,901399784,1599272760,506761620,506761620,3514064150,1
0,0,978274515,555242124,992503628,1660613836,1660613836,3904515723,0
0,0,680126327,326550527,583713966,2903770638,2903770638,4294967295,0
0,0,722150859,109218341,194607845,2523725937,2523725937,0,0
0,0,662608098,73121844,131620296,3451414586,3451414586,390451572,0
0,0,635836823,35656710,63896624,1501572295,1501572295,780903145,0
0,0,767598211,145922062,258078255,3183687479,3183687479,1171354717,0
0,0,908010924,367361869,663948836,2037312810,2037312810,1561806289,0
0,0,820101122,96347999,172582991,3084455079,3084455079,1952257861,0
0,0,959456850,156263147,277205473,4078310551,4078310551,2342709434,1
