timestamp,step_mean,step_std,step_max,step_median,dist_to_centroid_mean,speed_roll_var_4h_mean,speed_roll_var_8h_mean,accel_roll_var_4h_mean,accel_roll_var_8h_mean,kde_prob_mean,kde_prob_min,kde_prob_max,kde_prob_std,kde_prob_day_mean,kde_prob_night_mean,kde_prob_adaptive_mean,kde_low_prob_ratio,kde_very_low_prob_count,turning_angle_mean,turning_angle_std,turning_angle_max,turning_angle_median,sharp_turns_ratio,moderate_turns_ratio,turning_entropy,mean_speed,accelerate,is_outside,hour,is_night
9454235,445538591,0,445538591,445538591,1096269144,486145124,260457614,215241371,231521079,191828659,191828659,191828659,0,81699423,320454451,320454451,4294967295,4294967295,1802350180,0,1802350180,1802350180,0,4294967295,2696631731,794421140,354656932,4294967295,390451572,4294967295
9759210,1987452820,0,1987452820,1987452820,978135934,2492172185,1911311448,1050715649,1053632118,4160900137,4160900137,4160900137,0,3780719345,4076700065,4076700065,0,0,1056931683,0,1056931683,1056931683,0,4294967295,2696631731,3575941448,3341963424,0,780903145,4294967295
10064185,143251584,0,143251584,143251584,1092378103,3459827989,2230472551,4130284501,3076524334,4205483780,4205483780,4205483780,0,3891479672,4019857642,3891479672,0,0,1482401634,0,1482401634,1482401634,0,4294967295,3108219019,254474113,3940034723,0,1171354717,4294967295
10369161,84406484,0,84406484,84406484,1070664162,575581147,2535419320,1410934553,3266532746,4177133395,4177133395,4177133395,0,3719883151,4200764096,3719883151,0,0,1916823267,0,1916823267,1916823267,0,4294967295,3907386801,151847861,123286983,0,1561806289,0
10674136,188451164,0,188451164,188451164,1129935644,9335467,2620849877,236601403,3054893540,4082570001,4082570001,4082570001,0,3932951200,3680276131,3932951200,0,0,4260477839,0,4260477839,4260477839,4294967295,0,4294967295,336812510,220751676,0,1952257861,0
10979111,110736759,0,110736759,110736759,1213065398,7264552,292834041,11708927,1428092858,3717713364,3717713364,3717713364,0,3725679460,3145011433,3725679460,0,0,702468610,0,702468610,702468610,0,0,4294967295,195876321,166470982,0,2342709434,0
11284086,75050152,0,75050152,75050152,1146351312,3875678,8754570,1828270,177626553,3907227797,3907227797,3907227797,0,3839820535,3413767519,3839820535,0,0,3173292697,0,3173292697,3173292697,4294967295,0,4294967295,134583132,73396806,0,2733161006,0
11589062,33440986,0,33440986,33440986,1127004118,3423608,13432170,1624647,10538861,4005650227,4005650227,4005650227,0,3895016721,3559184179,3895016721,0,0,1540509776,0,1540509776,1540509776,0,4294967295,4294967295,60093380,89386096,0,3123612578,0
11894037,157961077,0,157961077,157961077,1176293156,14289022,8694954,10570710,13320024,3524824940,3524824940,3524824940,0,3527437742,2988905670,2988905670,0,0,3769468759,0,3769468759,3769468759,4294967295,0,4294967295,283183633,267069654,0,3514064150,4294967295
12199012,74091014,0,74091014,74091014,1113987987,6535547,8491619,14149157,13337598,3715251935,3715251935,3715251935,0,3651595152,3245409599,3245409599,0,0,2159648439,0,2159648439,2159648439,4294967295,0,4294967295,131561842,179784363,0,3904515723,4294967295
12503988,203358245,0,203358245,203358245,996400466,14062237,15318966,14536826,17140056,3771762733,3771762733,3771762733,0,3544884862,3526947771,3526947771,0,0,553133851,0,553133851,553133851,0,0,3907386801,361447955,272849153,0,4294967295,4294967295
12808963,72021064,0,72021064,72021064,968514364,14546402,10005985,21766574,24844402,3719763550,3719763550,3719763550,0,3434168011,3566820860,3566820860,0,0,200313079,0,200313079,200313079,0,0,3519806307,130057185,279027323,0,0,4294967295
13113938,140045083,0,140045083,140045083,982907025,4372441,9235746,13012560,20201958,3908855355,3908855355,3908855355,0,3681748851,3643669214,3643669214,0,0,3805994927,0,3805994927,3805994927,4294967295,0,3519806307,250367456,143627831,0,390451572,4294967295
13418914,71328116,0,71328116,71328116,920527436,5615285,10787188,6785392,19367718,3923064277,3923064277,3923064277,0,3614778507,3771895439,3771895439,0,0,2783448039,0,2783448039,2783448039,4294967295,0,3519806307,127411610,146663930,0,780903145,4294967295
13723889,36240604,0,36240604,36240604,896917105,5002037,6895096,4038817,11615241,3947166775,3947166775,3947166775,0,3610050367,3833613809,3610050367,0,0,1474053677,0,1474053677,1474053677,0,4294967295,3519806307,65006308,74749355,0,1171354717,4294967295
14028864,193011863,0,193011863,193011863,965006610,22721534,13037265,15778986,17440556,3659510034,3659510034,3659510034,0,3347646197,3553252793,3347646197,0,0,3651417763,0,3651417763,3651417763,4294967295,0,3907386801,344915804,334020107,0,1561806289,0
14333840,29692978,0,29692978,29692978,960997665,27564657,16369520,35588032,27933895,3618193017,3618193017,3618193017,0,3284204899,3549832344,3284204899,0,0,875279514,0,875279514,875279514,0,4294967295,4294967295,52973653,347799426,0,1952257861,0
14638815,7568264,0,7568264,7568264,963185759,13458665,22045906,18198981,30760434,3602722975,3602722975,3602722975,0,3266073674,3540505970,3266073674,0,0,614837257,0,614837257,614837257,0,0,4096214923,13566064,47169724,0,2342709434,0
14943790,252106345,0,252106345,252106345,927777460,58062985,40270260,33917685,53882163,3149002761,3149002761,3149002761,0,2595903571,3465015328,2595903571,0,0,814503570,0,814503570,814503570,0,4294967295,3897462552,449894155,519954852,0,2733161006,0
15248766,78527648,0,78527648,78527648,991935167,30353924,36395224,60617797,60857373,3126209025,3126209025,3126209025,0,2630504705,3363534450,2630504705,0,0,2848335980,0,2848335980,2848335980,4294967295,0,3897462552,140681933,369911874,0,3123612578,0
15553741,78765919,0,78765919,78765919,984963050,9646405,31332021,20601703,50502029,3302241138,3302241138,3302241138,0,2870024543,3422142054,3422142054,0,0,1718258343,0,1718258343,1718258343,0,4294967295,4096214923,140814818,158639,0,3514064150,4294967295
15858716,258318229,0,258318229,258318229,996434562,35657549,31106215,17555251,55774207,2674814333,2674814333,2674814333,0,2053732257,3159699558,3159699558,0,0,4116058413,0,4116058413,4116058413,4294967295,0,4294967295,460086518,379726376,0,3904515723,4294967295
16163691,242466143,0,242466143,242466143,1214886121,6416185,32874669,16678419,36998744,1854341872,1854341872,1854341872,0,1277558967,2399713187,2399713187,0,0,1646377118,0,1646377118,1646377118,0,4294967295,4096214923,431613728,33845431,0,4294967295,4294967295
16468667,141295397,0,141295397,141295397,1146660331,12599096,24407201,6901077,27714706,1875554408,1875554408,1875554408,0,1254495349,2481079513,2481079513,0,0,2748271292,0,2748271292,2748271292,4294967295,0,4096214923,253907524,213243614,0,0,4294967295
16773642,121152813,0,121152813,121152813,1163534421,5181660,20966391,1959509,26483943,1589993744,1589993744,1589993744,0,1003890617,2188613191,2188613191,0,0,841982297,0,841982297,841982297,0,4294967295,4294967295,214625151,46469790,0,390451572,4294967295
17078617,15797415,0,15797415,15797415,1170080073,14576871,29474790,6480512,10069892,1592662605,1592662605,1592662605,0,1003973881,2194578937,2194578937,0,0,3383931403,0,3383931403,3383931403,4294967295,0,4096214923,28515310,224329968,0,780903145,4294967295
17383593,260546564,0,260546564,260546564,1037946412,53570101,27506213,43669334,41337698,2482535232,2482535232,2482535232,0,1854219869,3006801280,1854219869,0,0,1573549412,0,1573549412,1573549412,0,4294967295,3897462552,465601578,521581453,0,1171354717,4294967295
17688568,85264506,0,85264506,85264506,1089575120,34435025,29289819,61812092,51365361,2480035076,2480035076,2480035076,0,1894225829,2943854943,1894225829,0,0,1628121215,0,1628121215,1628121215,0,4294967295,3897462552,151695345,372932126,0,1561806289,0
17993543,33467970,0,33467970,33467970,1090892777,10750227,36287148,11815130,53093734,2400011181,2400011181,2400011181,0,1796673097,2900995807,1796673097,0,0,3226651529,0,3226651529,3226651529,4294967295,0,3897462552,60024553,109788393,0,1952257861,0
18298519,26587459,0,26587459,26587459,1115216159,683292,37946121,2383302,47397130,2315575996,2315575996,2315575996,0,1718477756,2820379868,1718477756,0,0,2053055331,0,2053055331,2053055331,0,4294967295,3897462552,47565115,14884562,0,2342709434,0
18603494,6647127,0,6647127,6647127,1109838966,510333,9238472,247699,12738099,2327863061,2327863061,2327863061,0,1727836355,2835002279,1727836355,0,0,3622601331,0,3622601331,3622601331,4294967295,0,4096214923,11835818,42482947,0,2733161006,0
18908469,46906549,0,46906549,46906549,1089513331,1808841,1272922,1349780,4471013,2301688123,2301688123,2301688123,0,1679877831,2843950234,1679877831,0,0,788392204,0,788392204,788392204,0,4294967295,4294967295,83904419,86084176,0,3123612578,0
19213445,56562560,0,56562560,56562560,1038668480,2026450,3139869,500088,1806828,2424862958,2424862958,2424862958,0,1789272415,2968246746,2968246746,0,0,1254170638,0,1254170638,1254170638,0,4294967295,4294967295,101402140,20947174,0,3514064150,4294967295
19518420,146648776,0,146648776,146648776,968958005,8709268,12050832,2356368,3563800,2264504830,2264504830,2264504830,0,1609744582,2859530277,2859530277,0,0,1067965763,0,1067965763,1067965763,0,4294967295,4096214923,262355487,192281547,0,3904515723,4294967295
19823395,107451946,0,107451946,107451946,995046131,8791905,15055042,7061986,5244645,1998083084,1998083084,1998083084,0,1382922973,2576667691,2576667691,0,0,970762874,0,970762874,970762874,0,4294967295,3698710180,192767976,83363855,0,4294967295,4294967295
20128370,361091193,0,361091193,361091193,936800462,60253004,52709931,31825158,24381198,2111374175,2111374175,2111374175,0,1747922274,2312674928,2312674928,0,0,905081735,0,905081735,905081735,0,4294967295,3698710180,644292781,537989586,0,0,4294967295
20433346,93275847,0,93275847,93275847,987378667,77792713,48016510,95537101,73145067,1919867450,1919867450,1919867450,0,1512801203,2212491488,2212491488,0,0,3479970990,0,3479970990,3479970990,4294967295,0,3509882058,165971380,568341934,0,390451572,4294967295
20738321,19172714,0,19172714,19172714,996680960,23296973,71392233,22900765,76754977,1883688236,1883688236,1883688236,0,1466531894,2196212949,2196212949,0,0,162540781,0,162540781,162540781,0,0,3321053936,34223987,157041679,0,780903145,4294967295
21043296,30691304,0,30691304,30691304,985953018,796489,81858893,7392851,73137067,1933005524,1933005524,1933005524,0,1534987416,2210698632,1534987416,0,0,4073422280,0,4073422280,4073422280,4294967295,0,3519806307,54868786,24646006,0,1171354717,4294967295
21348272,41829085,0,41829085,41829085,957069398,202075,13787750,492648,31971107,1984444991,1984444991,1984444991,0,1555921714,2298022767,1555921714,0,0,2586922215,0,2586922215,2586922215,4294967295,0,3519806307,75387793,24694765,0,1561806289,0
21653247,22867376,0,22867376,22867376,966717290,352372,520772,364993,7217528,1948152199,1948152199,1948152199,0,1505868029,2286900485,1505868029,0,0,1797870504,0,1797870504,1797870504,0,4294967295,3519806307,40785156,41211734,0,1952257861,0
21958222,28133209,0,28133209,28133209,985325221,137938,219391,277889,586752,1913170222,1913170222,1913170222,0,1492056348,2226906708,1492056348,0,0,2530348945,0,2530348945,2530348945,4294967295,0,3907386801,50246667,11284293,0,2342709434,0
22263198,46746501,0,46746501,46746501,943181559,527053,476164,137209,491167,2021632735,2021632735,2021632735,0,1594430543,2327705490,1594430543,0,0,3043665579,0,3043665579,3043665579,4294967295,0,4294967295,82201650,37522858,0,2733161006,0
22568173,60684027,0,60684027,60684027,961471812,469366,1249358,14146,541241,2028543623,2028543623,2028543623,0,1652923998,2259761461,1652923998,0,0,2338430239,0,2338430239,2338430239,4294967295,0,4294967295,110514778,34431798,0,3123612578,0
22873148,69131519,0,69131519,69131519,1023858481,4796600,4544981,1363153,1162706,1872243512,1872243512,1872243512,0,1522395619,2090181874,2090181874,0,0,1412881065,0,1412881065,1412881065,0,4294967295,4294967295,123487883,15474552,0,3514064150,4294967295
23178124,235770094,0,235770094,235770094,834399028,27528096,24118844,11108311,9720377,2188896667,2188896667,2188896667,0,1686345260,2577535926,2577535926,0,0,3907562110,0,3907562110,3907562110,4294967295,0,4096214923,419752146,352216230,0,3904515723,4294967295
23483099,69408527,0,69408527,69408527,875536010,24113979,21019768,37477757,27066862,2113226548,2113226548,2113226548,0,1579753488,2557537530,2557537530,0,0,2314371596,0,2314371596,2314371596,4294967295,0,3897462552,124918807,354337795,0,4294967295,4294967295
23788074,137800570,0,137800570,137800570,749925989,5351844,16423910,18891784,29230087,2257866439,2257866439,2257866439,0,1689327822,2730516261,2730516261,0,0,3255905561,0,3255905561,3255905561,4294967295,0,4096214923,245910792,144181342,0,0,4294967295
24093050,90293677,0,90293677,90293677,677419386,18301985,20368981,10677553,34428709,2285231816,2285231816,2285231816,0,1653106737,2844738342,2844738342,0,0,767958010,0,767958010,767958010,0,4294967295,4294967295,161043478,101076955,0,390451572,4294967295
24398025,459232927,0,459232927,459232927,910281396,131765912,91308511,70999464,81688613,3010995385,3010995385,3010995385,0,2410346808,3415884672,3415884672,0,0,1898062161,0,1898062161,1898062161,0,4294967295,4294967295,824780001,796024995,0,780903145,4294967295
24703000,24808661,0,24808661,24808661,887721495,172633055,102005104,218493213,159828667,3031941546,3031941546,3031941546,0,2424841755,3442899659,2424841755,0,0,3081310613,0,3081310613,3081310613,4294967295,0,4294967295,43678634,918330497,0,1171354717,4294967295
25007975,170690146,0,170690146,170690146,891499096,31421350,100711907,116616148,171221142,3443904897,3443904897,3443904897,0,2958905613,3617946127,2958905613,0,0,1900063729,0,1900063729,1900063729,0,4294967295,3907386801,307459520,317284389,0,1561806289,0
25312951,63575519,0,63575519,63575519,905145178,14474453,106985510,29932476,169611404,3559562393,3559562393,3559562393,0,3129551974,3637455865,3129551974,0,0,127231532,0,127231532,127231532,0,0,3519806307,112703132,230549226,0,1952257861,0
25617926,4701018,0,4701018,4701018,907651589,7514679,26299640,4234157,83401451,3565317781,3565317781,3565317781,0,3140106760,3635474653,3140106760,0,0,481593201,0,481593201,481593201,0,0,3519806307,8519079,126074666,0,2342709434,0
25922901,17495450,0,17495450,17495450,892095612,2521386,18212761,4095370,23135276,3563217093,3563217093,3563217093,0,3121650598,3657094813,3121650598,0,0,3317741984,0,3317741984,3317741984,4294967295,0,3519806307,31225681,27062307,0,2733161006,0
26227877,119254201,0,119254201,119254201,957753033,11604526,10379842,4269019,15985459,3315227697,3315227697,3315227697,0,2849947384,3480480054,2849947384,0,0,2636685252,0,2636685252,2636685252,4294967295,0,3108219019,214060468,219153041,0,3123612578,0
26532852,91768792,0,91768792,91768792,1020502630,1585326,11497845,5822839,9969919,3048656225,3048656225,3048656225,0,2563529793,3282554313,3282554313,0,0,167819557,0,167819557,167819557,0,0,3108219019,162057662,61323541,0,3514064150,4294967295
26837827,134992345,0,134992345,134992345,1143332986,3840058,11232975,2556020,5242543,2558651059,2558651059,2558651059,0,2109378864,2815225242,2815225242,0,0,803335861,0,803335861,803335861,0,4294967295,3519806307,244492383,99699332,0,3904515723,4294967295
27142803,208565921,0,208565921,208565921,1244816566,6872873,10514967,736966,4652370,1833901583,1833901583,1833901583,0,1300344703,2320505183,2320505183,0,0,1336298823,0,1336298823,1336298823,0,4294967295,3519806307,365704775,141925421,0,4294967295,4294967295
27447778,213880713,0,213880713,213880713,1141041399,24920689,31780405,6762512,8084111,1908624502,1908624502,1908624502,0,1285423867,2512221126,2512221126,0,0,1713218067,0,1713218067,1713218067,0,4294967295,3519806307,389123703,28451748,0,0,4294967295
27752753,594796118,0,594796118,594796118,713512260,143902132,130974642,62745624,51126436,3232275701,3232275701,3232275701,0,2619121709,3621650417,3621650417,0,0,2170631251,0,2170631251,2170631251,4294967295,0,3907386801,1063206986,804616880,0,390451572,4294967295
28057729,111140986,0,111140986,111140986,804203706,234306395,136922270,258236836,193121825,3276567214,3276567214,3276567214,0,2693762928,3615826192,3615826192,0,0,3783257873,0,3783257873,3783257873,4294967295,0,4096214923,196591337,1023628916,0,780903145,4294967295
28362704,107956389,0,107956389,107956389,868125085,37006675,165642421,97176655,202760410,3502319321,3502319321,3502319321,0,3019353179,3664631799,3019353179,0,0,1856903806,0,1856903806,1856903806,0,4294967295,3897462552,193808000,3336683,0,1171354717,4294967295
28667679,135293687,0,135293687,135293687,936129096,955217,173647935,15894031,191350749,3677345853,3677345853,3677345853,0,3329064720,3620506675,3329064720,0,0,308581059,0,308581059,308581059,0,0,4096214923,240936110,56044148,0,1561806289,0
28972654,65342435,0,65342435,65342435,928889390,6904098,23315472,3685798,91235794,3783899633,3783899633,3783899633,0,3460305188,3675647749,3460305188,0,0,1078751085,0,1078751085,1078751085,0,4294967295,4294967295,117980222,148248091,0,1952257861,0
29277630,3566667,0,3566667,3566667,926103945,6052720,11890546,1135086,12913243,3788400084,3788400084,3788400084,0,3462411910,3682894000,3462411910,0,0,1271670147,0,1271670147,1271670147,0,4294967295,4096214923,6395008,133601425,0,2342709434,0
29582605,37814381,0,37814381,37814381,893977542,1353633,11161333,3932812,5549972,3815626861,3815626861,3815626861,0,3457954770,3751347810,3457954770,0,0,240520518,0,240520518,240520518,0,0,3897462552,67603161,73071020,0,2733161006,0
29887580,43940200,0,43940200,43940200,871611172,512205,3265969,537359,5344993,3757074968,3757074968,3757074968,0,3360851450,3756800862,3360851450,0,0,1853411421,0,1853411421,1853411421,0,4294967295,4096214923,78521959,13029562,0,3123612578,0
30192556,76785949,0,76785949,76785949,814425275,26060249,18256186,8186630,11240668,3635464375,3635464375,3635464375,0,3160788166,3765812132,3765812132,0,0,553954553,0,553954553,553954553,0,0,4096214923,135803891,67650965,0,3514064150,4294967295
30497531,440964056,0,440964056,440964056,471277050,155257833,141150069,45001892,52717868,2457013196,2457013196,2457013196,0,1721129949,3139055656,3139055656,0,0,329092104,0,329092104,329092104,0,0,3897462552,793741193,790835443,0,3904515723,4294967295
30802506,411021384,0,411021384,411021384,617886393,43006779,165753784,84883884,73705668,2344504249,2344504249,2344504249,0,1796058812,2775321321,2775321321,0,0,1197312228,0,1197312228,1197312228,0,4294967295,4096214923,735217387,69905251,0,4294967295,4294967295
31107482,47015511,0,47015511,47015511,620396262,143583766,144975034,69532147,167205377,2390427224,2390427224,2390427224,0,1876281504,2765230013,2765230013,0,0,933148091,0,933148091,933148091,0,4294967295,4294967295,84392518,780104549,0,0,4294967295
31412457,176732920,0,176732920,176732920,672528397,22341974,126361897,82867387,168410922,2284813912,2284813912,2284813912,0,1684211932,2799275903,2799275903,0,0,3882474585,0,3882474585,3882474585,4294967295,0,4096214923,313043578,270449668,0,390451572,4294967295
31717432,59161175,0,59161175,59161175,685919625,11339084,94696165,23882968,77947203,2287297368,2287297368,2287297368,0,1651831422,2851272614,2851272614,0,0,321251232,0,321251232,321251232,0,0,3897462552,106267997,248022362,0,780903145,4294967295
32022408,0,0,0,0,0,9885760,15436547,6717434,64984458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509882058,0,0,0,1171354717,4294967295
32327383,446868667,0,446868667,446868667,837318143,11138084,14020468,6990538,21599278,3199532728,3199532728,3199532728,0,2609647366,3560555014,2609647366,0,0,240577571,0,240577571,240577571,0,0,2848531352,398120626,173629802,0,1561806289,0
32632358,45466329,0,45466329,45466329,852418224,31561172,19848941,23061103,20384867,3310501015,3310501015,3310501015,0,2757198082,3602422009,2757198082,0,0,372371389,0,372371389,372371389,0,0,2574761139,80878639,376843037,0,1952257861,0
32937334,63776903,0,63776903,63776903,909758353,4406848,23211959,13403392,18887637,3330742705,3330742705,3330742705,0,2821663804,3556325704,2821663804,0,0,1352764514,0,1352764514,1352764514,0,4294967295,2574761139,114863529,40872431,0,2342709434,0
